Subject,List,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
11,0,765.6916099773243,2325.78231292517,4443.673469387755,6701.428571428572,9932.630385487528,11885.804988662132,14422.312925170068,16771.791383219956,19409.20634920635,22585.532879818595,24762.698412698413,27176.598639455784,29898.344671201816,33701.47392290249,40653.19727891156,,
11,1,949.6598639455782,3232.7664399092973,5872.018140589569,9291.904761904761,11941.292517006803,14364.603174603175,16602.67573696145,18755.62358276644,21832.403628117914,24690.997732426305,31544.149659863946,,,,,,
11,2,1305.3741496598639,3176.326530612245,5101.315192743765,7290.090702947846,8836.258503401361,10748.004535147393,12460.612244897959,16431.814058956916,18427.437641723354,21018.276643990932,24331.224489795917,26224.149659863946,35222.08616780046,,,,
11,3,1453.356009070295,3291.2925170068024,5371.133786848072,7996.8480725623585,10214.852607709752,12304.784580498866,15079.36507936508,20832.78911564626,24403.968253968254,26865.28344671202,29576.031746031746,42713.310657596376,47258.594104308395,,,,
11,4,1014.7165532879818,2687.573696145125,5357.981859410432,7058.75283446712,9459.274376417234,12087.573696145124,14535.215419501134,19212.993197278913,21443.242630385488,24520.566893424035,26388.253968253972,33794.013605442175,,,,,
11,5,1127.392290249433,3967.369614512472,6350.068027210885,8584.875283446712,10560.997732426305,12308.91156462585,15023.083900226757,16970.884353741498,19111.22448979592,24101.269841269845,30465.668934240362,,,,,,
11,6,1195.668934240363,2383.7414965986395,4053.4240362811797,5942.81179138322,8037.777777777778,10440.839002267574,12352.426303854874,15108.049886621317,18622.993197278913,21283.061224489797,22920.136054421768,,,,,,
11,7,1812.8798185941043,4232.81179138322,6379.909297052154,8361.201814058957,10511.156462585035,12647.98185941043,14617.573696145126,17886.07709750567,21547.891156462585,26675.102040816328,38000.884353741494,,,,,,
12,0,1440.6122448979593,2708.7074829931976,4153.90022675737,5517.619047619048,10967.052154195011,12587.732426303855,16779.297052154194,18074.058956916102,22207.369614512474,23224.39909297052,28042.018140589567,30158.004535147393,41178.0045351474,,,,
12,1,2708.163265306123,4308.662131519274,5923.1065759637195,7338.480725623584,9639.138321995466,13516.07709750567,15901.587301587302,17747.641723356006,22552.199546485263,25277.460317460318,30330.72562358277,32513.968253968258,48649.45578231293,,,,
12,2,1867.1655328798188,3286.258503401361,4724.331065759638,6342.879818594104,7918.435374149661,9330.975056689344,11137.00680272109,15017.34693877551,24636.780045351476,31097.188208616783,,,,,,,
12,3,1524.716553287982,3318.2086167800453,6126.39455782313,10073.945578231293,12604.37641723356,15595.328798185941,20854.42176870748,24050.385487528347,54018.662131519275,,,,,,,,
12,4,1399.4784580498867,2516.462585034014,4238.458049886622,6216.281179138322,9987.21088435374,15021.972789115647,19006.98412698413,21024.421768707485,25431.08843537415,31373.832199546483,33581.72335600907,,,,,,
12,5,1226.3492063492063,3114.0362811791383,6257.437641723356,11843.333333333334,14895.827664399092,18469.43310657596,22173.378684807256,25709.637188208617,28494.285714285717,35054.39909297052,43399.47845804988,,,,,,
12,6,1156.4625850340135,2701.360544217687,5396.0544217687075,8380.022675736962,11276.984126984127,14175.963718820862,25772.562358276646,29694.42176870748,32890.907029478454,41307.07482993197,,,,,,,
12,7,1672.2902494331067,3676.8934240362814,7428.820861678005,9804.353741496598,11974.353741496598,13803.90022675737,16390.725623582766,20559.25170068027,40225.69160997732,,,,,,,,
